GGAP,TFP
1.18,0.033912197
1.26,0.024391621
1.18,-0.003631136
1.86,0.021223147
1.66,0.020402804
1.38,-0.003493679
1.58,0.027956582
1.08,0.006761302
1.9,-0.014757597
0.26,-0.001612327
0.28,-0.00642551
0.1,0.003184515
-0.1,-0.008255352
0.2,0.013376482
-0.22,-0.022727522
0.18,0.005374183
-0.2,0.035924816
0.28,0.011457806
0.28,-0.026399232
-0.02,-0.002079721
0.28,0.001570204
-0.54,0.020805944
0.18,-0.005668299
0.76,0.001042886
0.2,-0.005680184
2.6,0.003337746
2.38,-0.015823608
3.22,0.04667224
0.18,-5.414799191
0.4,0.011451346
0.46,-0.003276015
0.56,0.011841683
1.02,0.00339718
0.92,-0.013285622
0.72,-0.009583612
0.72,0.004160664
0.46,0.01097395
0.66,0.000167009
0.46,-0.020651162
0.66,-0.001143187
0.66,-0.007754059
0.56,0.033193692
1.16,-0.018270488
1.62,0.011834242
1.16,0.035327583
1.22,0.016405276
1.16,0.002244779
1.82,0.025159515
1.62,0.011046516
1.36,-0.001634913
1.56,0.01980542
1.06,0.005064995
1.9,-0.018082671
0.22,0.000627826
0.26,-0.005242244
0.1,0.00808961
-0.1,0.006258133
0.2,0.012726482
-0.24,-0.026525306
0.16,0.005885474
-0.2,0.034968234
0.26,0.017358787
0.26,-0.021625654
-0.04,-0.000449915
0.26,0.003648104
-0.58,0.025928189
0.16,-0.008828655
0.62,0.020483631
0.2,-0.005823164
2.6,0.006903092
2.36,-0.008767092
3.14,0.060152503
0.16,0.409903042
0.4,0.002716186
0.44,-0.002604363
0.54,0.006664148
0.98,-0.007402603
0.88,-0.004749084
0.68,-0.009970415
0.68,0.003383965
0.44,-0.001978224
0.64,-0.002789716
0.44,-0.023270849
0.64,-0.003051422
0.64,-0.0052157
0.54,0.037332507
1.14,-0.007883832
1.58,0.009207656
1.14,0.03150829
1.18,0.013259663
1.14,0.009360046
1.78,0.03167942
1.58,0.011211497
1.34,-0.002056545
1.54,0.01118776
1.04,0.004260045
1.9,-0.002832318
0.18,0.005371624
0.24,-0.003481086
0.1,0.006470992
-0.1,0.020488723
0.2,0.007761446
-0.26,-0.015009148
